track_id,track_name,track_duration,track_popularity,track_explicit,track_preview_url,track_uri,track_index,album_id,album_name,album_uri,artist_name,artist_uri,artist_id
2OvV4NjEBRE9v8Oo7QeUCq,Jump (with Trippie Redd),207856,75.0,1,,spotify:track:2OvV4NjEBRE9v8Oo7QeUCq,2,2CH8od3NBJpsvqTdY3H1HH,Jump (with Trippie Redd),spotify:album:2CH8od3NBJpsvqTdY3H1HH,Trippie Redd,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax,6Xgp2XMz1fhVYe7i6yNAax
1YRWa0FGvwYtaKyh8MNNAN,"Solitude, Pt. 1",190733,4.0,1,https://p.scdn.co/mp3-preview/d9152599c2bc393ca65bceeac3b0d4896d630bf3?cid=06e3ddf05c49449e837ac18a7ec8ff86,spotify:track:1YRWa0FGvwYtaKyh8MNNAN,1,4x06cybal774lDso3r3YnV,Shotgun Inc,spotify:album:4x06cybal774lDso3r3YnV,Redneck Rampage,spotify:artist:26ixzR4pmalnLthPcwkkEn,26ixzR4pmalnLthPcwkkEn
5UmjTs63CSJIYxIBjsDl7w,"Cuntry Boner ""Disco Viagra Mix""",231037,31.0,0,https://p.scdn.co/mp3-preview/3f174502897d420f83f47f2e7567eaf121a16685?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:5UmjTs63CSJIYxIBjsDl7w,2,1y55M5DwLxl9bYIEMJBFPR,"""V"" Is for Viagra, the Vagina Remixes",spotify:album:1y55M5DwLxl9bYIEMJBFPR,Puscifer,spotify:artist:2pAajGWerK3ghwToNWFENS,2pAajGWerK3ghwToNWFENS
0HlMshB5JmZjPNbOuOgFHN,Nunca Es Suficiente,266015,73.0,0,https://p.scdn.co/mp3-preview/4aca6f797c7afaa478226be00b0fe3033094bcb4?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:0HlMshB5JmZjPNbOuOgFHN,1,1ezTrrYQHb4QAsjw7uHZwG,Esto Sí Es Cumbia,spotify:album:1ezTrrYQHb4QAsjw7uHZwG,Los Angeles Azules,spotify:artist:0ZCO8oVkMj897cKgFH7fRW,0ZCO8oVkMj897cKgFH7fRW
0HlMshB5JmZjPNbOuOgFHN,Nunca Es Suficiente,266015,73.0,0,https://p.scdn.co/mp3-preview/4aca6f797c7afaa478226be00b0fe3033094bcb4?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:0HlMshB5JmZjPNbOuOgFHN,1,1ezTrrYQHb4QAsjw7uHZwG,Esto Sí Es Cumbia,spotify:album:1ezTrrYQHb4QAsjw7uHZwG,Natalia Lafourcade,spotify:artist:1hcdI2N1023RvSwLzTtdsp,1hcdI2N1023RvSwLzTtdsp
66pFj1qLH3AVNw6tdPaoUd,Se Me a Perdido un Corazon,173693,2.0,0,https://p.scdn.co/mp3-preview/c1647b5b1889d5c9e847f0049108f090866eb833?cid=ad4e2c9c341f45bfb69d794adf579aef,spotify:track:66pFj1qLH3AVNw6tdPaoUd,2,3mmVKBYJcbSFMSi4W2V616,100% Cumbia Sonidera,spotify:album:3mmVKBYJcbSFMSi4W2V616,Grupo Pesadilla,spotify:artist:0RT9458AUQAWcE4cmYHClB,0RT9458AUQAWcE4cmYHClB
47IUL5vAQ3VPCHVQlcuXsK,At Night - Peggy Gou's Acid Journey Remix Edit,217761,41.0,0,https://p.scdn.co/mp3-preview/a7cf5bc888a40eea0741b8e537d55f425e54534d?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:47IUL5vAQ3VPCHVQlcuXsK,1,530kq3a79ACXssmkLurBxP,At Night (Remixes),spotify:album:530kq3a79ACXssmkLurBxP,Shakedown,spotify:artist:0vSfjPjAbekoehCpmy1RV1,0vSfjPjAbekoehCpmy1RV1
47IUL5vAQ3VPCHVQlcuXsK,At Night - Peggy Gou's Acid Journey Remix Edit,217761,41.0,0,https://p.scdn.co/mp3-preview/a7cf5bc888a40eea0741b8e537d55f425e54534d?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:47IUL5vAQ3VPCHVQlcuXsK,1,530kq3a79ACXssmkLurBxP,At Night (Remixes),spotify:album:530kq3a79ACXssmkLurBxP,Peggy Gou,spotify:artist:2mLA48B366zkELXYx7hcDN,2mLA48B366zkELXYx7hcDN
6zyHL7MMDJuVx6xFC8MBnW,The Get Down,216960,34.0,0,https://p.scdn.co/mp3-preview/f40b8567928acdd5bd401ef764b3474d18ce493e?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:6zyHL7MMDJuVx6xFC8MBnW,2,0IVFn7oaLBh4TKTqQ5eREQ,The Get Down,spotify:album:0IVFn7oaLBh4TKTqQ5eREQ,Harry Romero,spotify:artist:36AJmodiIrwV9U3QOiLMYM,36AJmodiIrwV9U3QOiLMYM
2vMSg1am0W5z49i43YcPd2,"Boogie Woogie Bugle Boy From Company B - The Swing Set: Jump, Swing & Jive Version",164800,0.0,0,,spotify:track:2vMSg1am0W5z49i43YcPd2,1,08PSvvhzcBjNuvCcso4QD6,"The Swing Set: Jump, Swing & Jive",spotify:album:08PSvvhzcBjNuvCcso4QD6,WordHarmonic,spotify:artist:5tF14orX4tFSqVIm4oA9XD,5tF14orX4tFSqVIm4oA9XD
